estado,cidade,n_pedidos
SP,guararema,11
MG,espinosa,6
ES,jaguare,14
RN,sao vicente,2
MG,pecanha,5
CE,frecheirinha,2
SP,tanabi,11
SP,rifaina,2
RN,guamare,2
MT,paranatinga,2
RS,catuipe,4
RN,joao camara,2
RS,sao paulo das missoes,2
MG,cristiano otoni,2
SP,cajuru,9
SC,balneario barra do sul,4
MT,itanhanga,1
BA,pindobacu,3
BA,boninal,2
MG,cruzeiro da fortaleza,2
AM,urucurituba,2
RS,antonio prado,5
AL,olho d'agua das flores,3
PR,guaraci,2
SP,mirante do paranapanema,3
PR,pinhalao,7
SC,rio do oeste,3
MG,itatiaiucu,2
SP,itapura,6
MG,setubinha,3
CE,iguatu,14
PI,piracuruca,2
RJ,pureza,1
PR,angulo,3
SC,sangao,3
RS,lindolfo collor,1
AL,igaci,2
PE,canhotinho,2
MG,estrela do indaia,2
PE,riacho das almas,2
MS,ladario,5
SC,agua doce,1
MS,camapua,6
MT,ribeirao cascalheira,1
PE,cabrobo,6
SC,lebon regis,1
RN,upanema,3
MA,bom jardim,1
MG,goncalves,3
RS,jari,4
MG,sao joao do manhuacu,2
MT,campinapolis,3
SC,sao ludgero,3
PI,valenca do piaui,4
MG,sao francisco de paula,2
GO,vianopolis,3
PR,coronel vivida,11
GO,palminopolis,1
MG,jacui,4
RS,candiota,4
MA,bequimao,1
BA,miguel calmon,5
MG,morro da garca,1
PR,altamira do parana,2
PB,sao mamede,1
PA,vigia,3
CE,paraipaba,5
SP,vargem,2
PB,alagoa grande,1
SP,santo antonio do pinhal,2
SP,elias fausto,5
BA,carnaiba do sertao,1
SP,morungaba,7
MG,leandro ferreira,2
PR,ibipora,12
PE,sao joao,1
RS,redentora,3
TO,colinas do tocantins,3
PE,moreilandia,2
PR,ivate,3
SP,florida paulista,4
MG,conceicao do formoso,1
PE,sirinhaem,5
MG,carmopolis de minas,5
MG,paraopeba,9
BA,wenceslau guimaraes,2
GO,mambai,2
PB,desterro,1
MG,novo oriente de minas,1
PI,angical do piaui,1
PE,pedra,3
PI,bom jesus,4
MG,nazareno,2
SP,aguas de sao pedro,3
RJ,portela,1
BA,baianopolis,2
PI,eliseu martins,4
MA,nova olinda do maranhao,4
BA,cacule,3
MA,cajari,1
CE,caridade,1
SE,nossa senhora das dores,1
SC,coronel martins,2
SC,governador celso ramos,3
SP,miracatu,5
PI,jose de freitas,3
SP,itariri,6
AL,canapi,1
PB,lagoa,1
BA,governador mangabeira,1
MG,jequitai,2
BA,alcobaca,4
SP,itabera,7
SP,ribeirao bonito,7
MG,itamarandiba,8
MG,vazante,6
MG,ritapolis,3
PE,orobo,1
AL,jequia da praia,2
ES,fundao,5
MG,verissimo,3
PR,campina da lagoa,3
PR,bituruna,5
SC,armazem,2
PR,terra roxa,4
PR,clevelandia,3
PI,bertolinia,1
BA,ibirataia,2
ES,vila nelita,2
GO,americano do brasil,3
AL,belem,3
PA,carajas,4
GO,santo antonio do descoberto,5
MG,bela vista de minas,1
RS,aurea,2
SP,alvaro de carvalho,2
BA,santa ines,3
MA,grajau,5
MG,materlandia,2
PE,itapetim,2
MG,martinesia,1
RS,mariano moro,1
RJ,porciuncula,8
SC,nova veneza,3
BA,sapeacu,2
ES,vargem alta,5
GO,campinorte,7
MG,coimbra,1
SC,luiz alves,2
RN,ielmo marinho,2
AL,sao jose da tapera,1
SP,areias,3
CE,ipaumirim,1
SP,pedra bela,3
PE,vertentes,1
MG,cantagalo,2
RS,campos borges,3
TO,tocantinopolis,7
MG,uruana de minas,1
BA,ichu,2
BA,dom macedo costa,1
MG,conceicao do mato dentro,12
MG,tuparece,1
RS,parobe,12
MG,simonesia,9
SP,alambari,3
SE,monte alegre de sergipe,1
PE,caraiba,2
PE,tamandare,1
PR,ivai,2
MT,claudia,4
MG,sao miguel do anta,1
PR,tapejara,2
BA,america dourada,1
PA,santa isabel do para,6
TO,dianopolis,7
RS,pinto bandeira,1
RS,campinas do sul,6
PR,santo antonio do sudoeste,3
RS,gramado dos loureiros,1
SP,ribeirao branco,2
PA,murucupi,1
SE,sao francisco,3
CE,barro,4
MT,nova olimpia,2
PR,munhoz de melo,4
RS,itaara,1
MA,codo,8
MG,divisa nova,1
PB,conceicao,2
MG,pavao,1
PA,pacaja,6
RO,guajara-mirim,3
RS,candido godoi,1
RS,arroio grande,3
BA,jussari,2
SP,nova granada,19
PE,sao vicente ferrer,2
MG,sao joao batista do gloria,3
GO,domiciano ribeiro,2
PI,sao jose do piaui,1
MG,ubai,1
BA,cotegipe,1
SC,sao joao do itaperiu,1
SP,bocaina,6
RS,crissiumal,2
RS,tupancireta,4
RJ,valao do barro,1
SC,piratuba,6
BA,sao jose da vitoria,2
SP,dobrada,2
MG,jampruca,1
SP,lupercio,3
MG,indianopolis,2
CE,itarema,1
MG,astolfo dutra,11
MA,sao joao dos patos,7
MG,francisco dumont,2
GO,corumbaiba,4
SP,alvares florence,2
AL,cajueiro,1
BA,saude,2
BA,itatim,3
SC,aurora,2
MG,alagoa,1
PE,correntes,1
RJ,sao jose de uba,3
MG,pote,3
MG,taquaracu de minas,2
PR,mariopolis,1
MT,itauba,5
CE,acopiara,7
SC,schroeder,9
MG,palmopolis,1
MG,ressaquinha,1
RJ,santo amaro de campos,6
SP,dumont,4
RO,buritis,2
BA,canarana,1
MG,dores de guanhaes,1
RJ,santa rita da floresta,1
RJ,monnerat,2
RJ,quatis,5
BA,casa nova,7
MA,amapa do maranhao,1
SP,floreal,2
GO,diorama,2
MA,santa quiteria do maranhao,1
RN,janduis,1
RS,boa vista das missoes,1
RS,rainha do mar,1
SC,irani,4
MG,turmalina,9
MA,araguana,1
BA,itagimirim,1
BA,camacan,6
PE,ferreiros,1
SP,piacatu,1
RS,rodeio bonito,2
BA,livramento de nossa senhora,5
MA,santa luzia,2
CE,pedra branca,2
SP,lucianopolis,2
MG,sao joao evangelista,7
MA,miranda do norte,1
CE,miraima,2
MG,fronteira,6
PA,novo repartimento,2
SP,pedrinhas paulista,4
MG,alfredo vasconcelos,3
CE,banabuiu,1
RS,santo antonio do palma,2
MG,coracao de jesus,3
MS,jaraguari,2
PB,fagundes,1
RS,tenente portela,3
BA,lencois,1
MA,santa helena,3
SP,cristais paulista,4
RO,sao miguel do guapore,4
AL,igreja nova,2
PE,jaqueira,3
SP,altinopolis,4
MS,tacuru,1
BA,muquem do sao francisco,2
MT,gaucha do norte,2
MG,morro do pilar,1
SP,patrocinio paulista,2
CE,mombaca,1
SP,sarapui,2
CE,varzea alegre,2
SP,onda verde,1
PA,mocajuba,1
SC,petrolandia,5
GO,itaguaru,2
SP,poloni,3
BA,itagiba,2
SP,reginopolis,3
MG,rio pardo de minas,5
BA,esplanada,6
RJ,raposo,3
PR,imbituva,8
GO,turvelandia,1
RJ,santanesia,4
MG,olaria,1
MG,capitolio,5
RJ,lidice,1
SC,nova itaberaba,2
MG,sao jose do goiabal,2
GO,trombas,1
MG,mirai,9
RS,sobradinho,3
PR,joaquim tavora,3
RS,seberi,2
MG,antonio pereira,2
MT,juara,5
MT,poxoreu,2
MT,arenapolis,2
PA,conceicao do araguaia,7
PR,santa cecilia do pavao,1
AL,sao miguel dos campos,2
PE,oroco,3
BA,cabaceiras do paraguacu,1
RS,guabiju,1
PE,joao alfredo,3
PR,ventania,3
BA,urucuca,2
PR,sao jose da boa vista,1
CE,missi,1
PA,ourilandia do norte,5
GO,montividiu do norte,1
SP,pereiras,1
PR,sao miguel do cambui,1
SC,bom jesus,2
MG,vargem alegre,2
CE,coreau,1
MG,ipiacu,3
CE,quixere,3
BA,ribeira do pombal,8
MG,sao francisco do humaita,1
RS,condor,4
SC,timbe do sul,3
SE,pirambu,1
MG,sao geraldo,4
PB,araruna,1
SC,santa rosa de lima,3
RS,santa maria do herval,1
BA,inhambupe,7
PE,dormentes,2
BA,irara,2
PE,altinho,2
SC,palma sola,4
BA,itiuba,4
BA,piata,2
MG,cajuri,1
RS,sao pedro do sul,1
SP,jambeiro,4
AP,laranjal do jari,2
MG,guape,1
PR,sao pedro do ivai,3
SP,ocaucu,5
PE,aguas belas,6
BA,ibicarai,5
GO,planaltina de goias,2
MG,vermelho novo,1
PR,grandes rios,2
PB,santa cecilia,1
SP,nova luzitania,1
BA,iguai,2
MG,conceicao da aparecida,6
MG,alterosa,3
CE,baturite,3
PE,mirandiba,3
AL,lagoa da canoa,1
RS,silveira martins,1
MG,brasopolis,1
SC,otacilio costa,5
PE,pocao,1
MG,claro dos pocoes,1
SC,apiuna,7
TO,cariri do tocantins,2
MG,ouro verde de minas,2
SP,fartura,10
ES,alto rio novo,2
GO,doverlandia,2
SP,taiacu,1
BA,palmeiras,2
MG,mendes pimentel,5
MA,santa luzia do parua,1
AL,junqueiro,2
MT,alto garcas,2
BA,wanderley,2
BA,amelia rodrigues,3
RS,novo machado,1
GO,abadiania,1
PR,barracao,1
MT,dom aquino,3
GO,uruana,4
CE,missao velha,1
MG,ibiai,3
SE,indiaroba,1
PI,lagoinha do piaui,1
AL,campo alegre,2
RS,erebango,1
CE,aurora,3
BA,nucleo residencial pilar,8
MG,conceicao do para,3
PR,florai,2
RJ,duas barras,1
ES,sao joao do sobrado,1
RS,mata,1
RS,cruzeiro do sul,4
MG,lagoa formosa,7
SP,guatapara,1
RJ,ibitioca,1
PB,alagoa nova,1
AL,mar vermelho,2
BA,bonito,2
MA,moncao,1
RS,arroio do tigre,2
PB,santa luzia,5
BA,riachao das neves,2
MT,terra nova do norte,3
MS,bataguassu,5
MG,serro,2
SC,xavantina,2
MG,carai,6
SP,taquarivai,3
MG,santa rita de caldas,6
CE,porteiras,1
MS,prudencio thomaz,1
SC,campo ere,7
MG,felixlandia,1
SC,presidente nereu,1
MG,sao tomas de aquino,4
MG,sao sebastiao do rio verde,1
MG,juruaia,6
MG,agua comprida,2
SP,lourdes,2
RO,cabixi,1
MG,volta grande,4
SC,caibi,3
RN,sao tome,1
GO,bom jardim de goias,1
PR,lupionopolis,2
SC,calmon,1
MA,estreito,3
SC,antonio carlos,2
AL,novo lino,1
PE,arcoverde,5
SP,sarutaia,1
MT,sao felix do araguaia,1
RJ,carapebus,5
SP,cardoso,6
RS,campina das missoes,2
PA,tome-acu,1
BA,entre rios,6
RS,piratini,1
PR,rio bonito do iguacu,4
SC,peritiba,2
MA,vitorino freire,3
BA,central,1
MS,juti,4
MG,montezuma,2
RS,nova palma,2
BA,cipo,1
MG,pescador,1
MG,crisolita,2
PE,macaparana,2
CE,jaguaribe,5
RS,chui,5
GO,mossamedes,1
PR,itaipulandia,6
PR,juranda,2
CE,pereiro,3
MT,bom jesus do araguaia,1
SP,itatinga,4
AL,sao bras,1
BA,santana,3
SC,ipumirim,5
MA,pindare mirim,3
MG,juatuba,4
MG,canapolis,5
RN,monte alegre,1
PR,rio verde,1
PE,buenos aires,2
MS,bela vista,3
MA,sao pedro da agua branca,1
SP,nova campina,2
PR,serra dos dourados,1
MG,itanhomi,4
MG,guarda-mor,2
MG,claraval,1
SP,mariapolis,2
BA,antonio cardoso,2
AL,piacabucu,2
BA,presidente janio quadros,1
RJ,barao de juparana,1
RN,lagoa d'anta,1
SP,rafard,5
TO,alianca do tocantins,2
GO,cocalzinho de goias,1
BA,canudos,1
PB,paulista,1
GO,corumba de goias,2
SP,lagoinha,3
PR,cruzeiro do iguacu,1
MG,bonfim,4
BA,carinhanha,2
PR,pirapo,1
PR,sao joao do ivai,2
TO,porto nacional,8
RS,erval grande,2
RS,sao valentim,3
RS,estrela velha,1
PR,serranopolis do iguacu,2
MA,buriticupu,5
SP,aparecida d'oeste,1
SP,corumbatai,2
AL,pindoba,2
PR,perola,2
RS,santo antonio das missoes,4
PR,sao carlos do ivai,1
SC,seara,6
SC,dionisio cerqueira,3
MG,santa rita de jacutinga,1
MG,urucuia,1
PE,caetes,1
AL,girau do ponciano,1
RS,anta gorda,4
MA,candido mendes,1
BA,rio real,3
PE,gloria do goita,2
ES,santo antonio do canaa,1
SC,campo alegre,2
BA,acajutiba,1
RS,colinas,1
MG,matutina,2
CE,jaguaruana,4
RS,nova brescia,1
BA,ibiraja,2
MT,rio branco,4
MG,antonio prado de minas,3
SP,saltinho,5
MG,uniao de minas,3
RS,vila langaro,3
BA,lagoa real,1
PI,inhuma,1
BA,ubata,2
BA,igrapiuna,1
PB,caldas brandao,1
PE,bom jardim,2
AL,sao luis do quitunde,2
MG,lajinha,3
MG,andrelandia,3
RS,nao-me-toque,7
RS,nova santa rita,5
SP,pedranopolis,1
PR,nova laranjeiras,1
PR,reserva do iguacu,1
PE,sao benedito do sul,1
PI,bocaina,1
CE,aquiraz,2
RS,rio pardo,6
MG,bias fortes,2
PI,conceicao do caninde,1
GO,aurilandia,1
PB,soledade,3
PE,trindade,4
BA,tanhacu,4
ES,piacu,1
RS,vespasiano correa,1
PA,mae do rio,2
SP,guaranta,5
BA,heliopolis,1
SC,novo horizonte,1
ES,iuna,2
RS,david canabarro,2
SE,riachuelo,1
MS,agua clara,2
MG,sao thome das letras,2
RS,unistalda,1
CE,pentecoste,2
BA,sao francisco do conde,3
CE,uruoca,2
RO,alta floresta d'oeste,3
CE,chaval,1
RS,travesseiro,1
SC,frei rogerio,1
PR,figueira,4
MG,santa fe de minas,1
PB,princesa isabel,1
MT,cocalinho,4
GO,jussara,3
RS,boa vista do sul,1
SP,nipoa,2
ES,itarana,3
PI,castelo do piaui,2
RS,gaurama,3
RS,formigueiro,2
PA,bom jesus do tocantins,3
MG,luizlandia do oeste,2
MG,carlos chagas,3
CE,varjota,4
RS,alto alegre,1
SP,sao jose da bela vista,3
RJ,sumidouro,10
BA,jacaraci,4
PR,formosa do oeste,1
MG,iguatama,4
PR,araruna,4
SP,santa lucia,3
SC,passos maia,2
RS,santo expedito do sul,1
RO,ouro preto do oeste,4
PA,augusto correa,3
SP,potim,2
MT,vila rica,3
RS,ibiraiaras,2
MG,bom jesus da penha,2
BA,pintadas,2
PI,buriti dos lopes,2
MG,chaveslandia,2
SP,aramina,1
MG,varjao de minas,2
AC,senador guiomard,2
BA,presidente dutra,3
CE,taperuaba,1
SP,jaci,2
SP,itirapina,2
RN,sao jose do campestre,1
MG,miradouro,1
MG,carvalhopolis,3
ES,conceicao da barra,3
BA,mairi,2
RS,santa barbara do sul,2
MG,rubim,3
PR,rancho alegre,2
PE,calcado,1
SC,rancho queimado,2
SE,neopolis,1
RS,vista alegre,1
RN,santana do serido,2
ES,marechal floriano,5
MG,pirauba,3
CE,guaiuba,2
BA,conceicao da feira,2
PA,brasil novo,3
MG,virgolandia,2
BA,caldeirao grande,3
PE,santa terezinha,1
SP,caiua,2
MG,chacara,2
MA,lago da pedra,5
MG,capim branco,2
PR,leopolis,1
MG,minduri,1
MG,alto caparao,2
RS,herveiras,1
PE,itambe,4
TO,augustinopolis,1
CE,pindoretama,1
CE,trairi,2
BA,sao desiderio,1
RN,serra de sao bento,2
MS,gloria de dourados,1
MG,caiana,3
CE,potengi,2
SE,nossa senhora de lourdes,1
RO,colorado do oeste,3
MG,pedralva,3
MG,cachoeira de pajeu,3
SP,pacaembu,6
SP,inubia paulista,3
MG,inhauma,2
RS,ametista do sul,2
AM,humaita,4
PR,itaguaje,2
GO,carmo do rio verde,2
GO,sao joao d'alianca,3
PE,capoeiras,1
RS,taquarucu do sul,1
SP,monte alegre do sul,6
RJ,santo eduardo,2
MG,virginia,1
RS,alegria,1
MG,grupiara,1
BA,pindai,2
MS,itaquirai,2
ES,pancas,1
PE,jatauba,2
BA,ituacu,3
PB,cubati,2
RN,carnaubais,2
RS,tupandi,3
MG,diogo de vasconcelos,2
TO,peixe,1
MA,carolina,2
CE,groairas,1
ES,iconha,5
BA,itamira,2
BA,caetanos,1
BA,abare,2
PB,sao jose dos cordeiros,1
MG,pirajuba,1
MS,sanga puita,1
MG,nepomuceno,9
PI,campo alegre do fidalgo,1
PR,sao jorge do ivai,1
SC,monte castelo,1
SP,salto grande,1
PE,sao joaquim do monte,1
RS,sao vendelino,2
BA,brejolandia,1
SC,rio dos cedros,1
PE,flores,1
CE,novo oriente,3
BA,wagner,1
BA,morpara,2
BA,ibitiara,1
RN,sao jose de mipibu,3
RS,pouso novo,1
RO,candeias do jamari,1
PA,goianesia do para,3
BA,ibitita,1
MS,cassilandia,5
PR,eneas marques,4
BA,crisopolis,4
PB,pianco,1
SP,guariroba,2
RS,nonoai,2
AL,barra de sao miguel,2
PI,caxingo,1
PB,inga,1
MG,santo antonio dos campos,1
AL,colonia leopoldina,2
RS,barra do rio azul,1
BA,tabocas do brejo velho,3
PR,candoi,1
BA,xique-xique,3
RS,putinga,2
BA,sao felix do coribe,1
MG,turvolandia,2
GO,simolandia,2
PB,pombal,6
MG,matipo,4
BA,curaca,3
GO,araguapaz,2
PE,barra de guabiraba,2
CE,meruoca,2
SP,embauba,1
PR,jardim olinda,1
SC,morro grande,1
SP,nossa senhora do remedio,2
PR,nova america da colina,1
AC,cruzeiro do sul,3
BA,chorrocho,1
PE,jupi,2
BA,serrolandia,3
TO,pedro afonso,3
MT,figueiropolis d'oeste,2
MG,santana dos montes,2
PE,bonito,5
CE,mucambo,1
SP,coroados,2
ES,mucurici,1
SC,santa rosa do sul,1
MG,passa tempo,1
MG,martinho campos,2
MG,porteirinha,5
SC,ponte alta do norte,1
BA,pau brasil,1
CE,saboeiro,1
MT,reserva do cabacal,2
CE,iraucuba,2
RN,carnauba dos dantas,1
MT,novo mundo,1
RN,rodolfo fernandes,2
PR,perola d'oeste,2
MG,chapada gaucha,4
PI,luis correia,1
CE,pacoti,2
PB,prata,1
MG,limeira do oeste,2
PB,alhandra,2
MA,pedreiras,3
AL,maribondo,1
GO,cachoeira dourada,2
CE,erere,1
RJ,porto real,7
SP,ibitiuva,1
CE,nova olinda,3
SP,bora,1
MG,guinda,1
RN,marcelino vieira,1
PR,nova aurora,3
PR,jataizinho,1
PR,cafeara,3
MA,vitoria do mearim,2
AL,pilar,3
PE,siriji,1
PA,uruara,6
MG,piedade do rio grande,3
MG,acaiaca,2
SP,sud mennucci,5
MG,sao geraldo do baguari,1
BA,guaratinga,2
PE,buique,1
PA,monte alegre,1
PI,agua branca,2
PB,puxinana,1
RN,santa maria,1
MG,guiricema,1
CE,iracema,2
PR,vila nova,2
MA,parnarama,1
PA,jacareacanga,1
GO,crominia,1
PR,santa amelia,1
SC,lontras,3
RS,jaquirana,1
PR,guaraquecaba,1
RO,costa marques,2
PA,vila dos cabanos,4
PE,tacaratu,2
PR,sao clemente,1
GO,lagoa santa,1
RJ,rio claro,3
PA,viseu,1
MG,conquista,6
MA,pinheiro,4
BA,belo campo,3
PA,concordia do para,3
MG,tumiritinga,1
PR,planaltina do parana,1
PR,santa margarida,1
MG,paula candido,1
PB,cuite,4
MT,carlinda,2
PR,querencia do norte,1
MG,natercia,1
SP,riolandia,3
PI,gilbues,1
RS,nova padua,1
MG,pinhotiba,1
PB,ibiara,1
RS,coqueiros do sul,1
RS,victor graeff,2
RN,florania,1
TO,natividade,1
MG,ipuiuna,1
SP,americo de campos,1
CE,pacuja,1
CE,ubajara,3
SP,coronel macedo,2
SE,caninde de sao francisco,2
RS,sao jeronimo,7
BA,arembepe,2
RS,miraguai,1
RN,patu,3
CE,araripe,2
RS,santana da boa vista,2
CE,carire,3
RS,boa vista do burica,1
BA,iramaia,2
PR,palmital,1
AL,uniao dos palmares,2
MG,entre rios de minas,7
TO,esperantina,1
PI,lagoa de sao francisco,1
MS,dois irmaos do buriti,3
CE,aratuba,2
PR,campo bonito,1
MG,bonfinopolis de minas,2
SP,gastao vidigal,3
MG,itacarambi,3
GO,divinopolis de goias,1
AL,cacimbinhas,1
PE,sao jose do egito,4
MG,sao vitor,1
PA,santo antonio do taua,1
PR,cerro azul,4
MG,porto firme,2
CE,dourado,1
PA,porto trombetas,2
RN,caraubas,3
MG,recreio,3
SP,santa mercedes,2
PR,mariental,1
SP,taciba,2
RS,morro redondo,1
CE,guaraciaba do norte,4
MT,ipiranga do norte,1
GO,goianira,8
MA,presidente juscelino,1
RN,governador dix-sept rosado,1
BA,nova soure,3
RS,entre-ijuis,3
PE,santa maria da boa vista,2
MG,santa helena de minas,2
BA,itabela,4
SP,palmares paulista,1
MA,paulino neves,1
BA,retirolandia,1
PR,rancho alegre d'oeste,1
PR,bom sucesso,1
MG,morro vermelho,1
PI,caldeirao grande do piaui,1
MA,carutapera,2
MG,miravania,1
PE,lagoa do carro,2
PR,carambei,3
MG,patis,1
MG,olhos d'agua,1
MG,itambacuri,6
MG,taparuba,1
PR,farol,1
RS,uniao da serra,1
MG,campanario,2
MG,jenipapo de minas,1
MG,berizal,1
MG,caputira,2
PE,amaraji,2
BA,ribeira do amparo,1
GO,nova crixas,1
MG,santa maria do suacui,2
MG,divisa alegre,2
MG,japaraiba,1
PB,junco do serido,2
CE,aracoiaba,3
SC,tangara,1
PI,avelino lopes,2
PR,pitanga,3
CE,assare,1
BA,sento se,1
MG,maria da fe,3
BA,conceicao do jacuipe,3
BA,jiquirica,1
MA,pio xii,1
RO,machadinho d'oeste,3
MG,moema,1
RS,jaguari,3
MG,conceicao das pedras,4
SP,ajapi,1
ES,celina,2
BA,santa teresinha,2
MG,datas,1
RS,nova esperanca do sul,2
SP,zacarias,2
GO,itapirapua,2
BA,anage,1
MG,queixada,1
PE,pombos,1
AL,monteiropolis,1
SP,ribeirao do sul,3
BA,itagi,2
TO,bandeirantes do tocantins,2
MG,campo azul,1
MA,colinas,3
MG,vermelho,1
MT,salto do ceu,4
GO,apore,1
BA,jaguaquara,2
AL,porto calvo,2
RN,montanhas,1
MA,vargem grande,1
SC,chapadao do lageado,1
MG,morro do ferro,1
CE,independencia,1
PR,florestopolis,3
SP,flora rica,1
RJ,penedo,1
PE,alianca,1
GO,santa cruz de goias,2
BA,pilao arcado,4
MG,jeceaba,6
PR,conselheiro mairinck,1
BA,erico cardoso,1
TO,novo alegre,1
AC,epitaciolandia,1
PE,terezinha,1
RJ,jaguarembe,1
RS,ipiranga,1
SP,nova canaa paulista,2
BA,iraquara,5
BA,itororo,2
SP,monteiro lobato,1
SC,witmarsum,3
MG,palmital de minas,1
PB,sape,2
SC,agrolandia,1
BA,oliveira dos brejinhos,2
MG,centralina,1
BA,capela do alto alegre,1
GO,mutunopolis,1
BA,ibitira,1
AL,barra de santo antonio,2
MG,francisco sa,3
MG,sao tiago,5
BA,angical,1
SP,santo antonio da alegria,3
BA,ponto novo,1
MG,delfim moreira,1
AL,santana do ipanema,1
BA,aracatu,1
MG,guidoval,2
PR,sulina,1
SP,santa ernestina,2
CE,vicosa do ceara,1
BA,barrocas,1
SP,rincao,1
MG,luisburgo,2
MG,sao joao das missoes,2
PE,sertania,4
MG,borda da mata,6
ES,aguia branca,2
PR,alto alegre,2
PR,roncador,2
MG,irai de minas,2
PI,varzea grande,1
SC,ibicare,2
MS,terenos,1
MA,joselandia,1
GO,urutai,3
MG,munhoz,4
ES,praia grande,1
SP,ribeira,3
PB,mae d'agua,1
MG,braunas,1
MG,antonio carlos,1
CE,pires ferreira,1
MG,rodeiro,3
RN,ipueira,1
PR,sao tome,2
RJ,jamapara,1
PR,santa lucia,1
PI,rio grande do piaui,1
MG,jaboticatubas,1
BA,umburanas,1
SC,sao pedro de alcantara,2
PA,picarra,1
MG,carmo de minas,3
PB,frei martinho,2
GO,mundo novo,2
PR,flor da serra do sul,2
MG,santa cruz de salinas,2
MG,antunes,1
MG,santana de pirapama,1
ES,novo brasil,1
CE,amontada,1
MG,cachoeira do campo,2
SC,alto bela vista,1
MA,viana,5
ES,sao roque do canaa,5
RS,campo novo,2
TO,cristalandia,3
CE,sao luis do curu,2
SP,boraceia,1
MG,carbonita,4
SC,fragosos,1
MG,caparao,1
PR,sao jorge do patrocinio,2
PR,perobal,1
SP,paulistania,1
SP,tapirai,2
MG,coronel murta,1
BA,baixa grande,1
CE,jaguaribara,1
PE,lagoa grande,4
MG,paiva,2
MG,vieiras,1
PB,coremas,3
PB,bonito de santa fe,1
PE,timbauba,7
RJ,santa isabel do rio preto,1
SP,queiroz,1
PR,ilha dos valadares,1
MG,inconfidentes,2
DF,guara,2
ES,quilometro 14 do mutum,1
SE,itaporanga d'ajuda,1
SP,joao ramalho,3
PR,cantagalo,2
SC,leoberto leal,1
GO,agua fria de goias,1
CE,ocara,2
MG,cachoeira do brumado,1
RS,alpestre,1
RS,porto lucena,1
MG,tabuleiro,2
PR,icaraima,1
SP,jamaica,1
RJ,piao,1
SP,mineiros do tiete,3
PA,aurora do para,1
MG,dom cavati,1
BA,nova canaa,2
SC,salto veloso,4
PR,foz do jordao,1
MG,acucena,1
RJ,sao jose do ribeirao,1
PR,jesuitas,4
SP,moncoes,2
PE,serrita,2
SP,alfredo marcondes,1
CE,abaiara,2
TO,centenario,1
AL,vicosa,1
PR,marilena,1
BA,ibipeba,1
BA,varzea do poco,1
SP,pauliceia,3
RJ,bom jesus do querendo,1
GO,alto horizonte,2
MG,pingo-d'agua,1
PB,pedra lavrada,1
PR,iretama,1
RS,constantina,1
PB,assuncao,1
MG,machacalis,2
PR,jardim alegre,2
AL,inhapi,2
RJ,itacurussa,1
MG,ribeiro junqueira,1
PR,bela vista do paraiso,3
BA,taboquinhas,1
MG,bandeira do sul,2
BA,cachoeira,4
RS,coqueiro baixo,2
MG,silvano,1
SP,mira estrela,1
BA,ibipitanga,2
PR,entre rios do oeste,3
RS,garruchos,1
GO,bonfinopolis,2
MG,sao bento abade,1
PR,mercedes,2
BA,santa brigida,1
PR,alto parana,2
PA,nova ipixuna,1
MA,sitio novo,1
TO,arapoema,1
MG,brasilandia de minas,2
RO,ministro andreazza,1
PB,juripiranga,1
TO,pugmil,1
MG,catas altas,5
SP,oleo,1
PR,california,2
GO,nova aurora,1
PB,teixeira,1
SP,glicerio,2
MG,tiradentes,4
MG,varzelandia,3
MG,arapua,1
RS,polo petroquimico de triunfo,1
MG,mamonas,1
SC,jose boiteux,1
RS,cerro grande do sul,2
SC,galvao,1
PI,pimenteiras,2
SC,riqueza,3
MG,abadia dos dourados,3
SP,nantes,1
MG,jaguaracu,1
MG,tarumirim,4
MG,santa cruz do prata,2
MT,curvelandia,1
PA,juruti,1
GO,itaguacu,2
GO,agua limpa,1
BA,quijingue,2
ES,laranja da terra,1
RJ,cambiasca,1
SC,massaranduba,3
CE,penaforte,2
RN,caicara do norte,1
TO,barrolandia,2
MG,sericita,2
MG,coroaci,2
CE,lages,1
PA,nova timboteua,1
MG,senador modestino goncalves,2
MT,apiacas,1
RS,cambara do sul,1
SP,julio mesquita,2
CE,madalena,1
RN,lagoa de velhos,1
MG,padre paraiso,1
RS,novo barreiro,2
PR,vitorino,1
CE,arneiroz,2
MG,sao domingos do prata,4
MG,itabirinha,1
BA,botupora,1
PR,cambira,2
ES,braco do rio,2
RO,cerejeiras,1
PR,campo do tenente,1
MG,felisburgo,1
RS,quarai,4
BA,belmonte,1
SP,avai,1
MT,sao jose do xingu,1
MS,coronel sapucaia,1
MG,santo antonio do aventureiro,1
SP,planalto,1
RN,sao joao do sabugi,1
PE,sao bento do una,5
BA,santaluz,3
SP,balbinos,1
MA,alcantara,1
MS,itapora,3
MT,peixoto de azevedo,4
MG,ewbank da camara,1
PR,porto rico,1
RN,tenente ananias,1
MG,chapada do norte,2
AL,satuba,2
MA,buriti,1
MG,serra azul de minas,2
RJ,conrado,1
GO,leopoldo de bulhoes,1
SP,santa salete,1
SP,getulina,2
MG,padre carvalho,1
MG,guarara,2
RS,bossoroca,1
CE,barreira,1
MG,corrego fundo,1
MT,itiquira,1
PE,itaquitinga,2
PR,tunas do parana,2
ES,muniz freire,2
BA,maiquinique,1
PB,riacho de santo antonio,1
MT,porto alegre do norte,1
RS,ipiranga do sul,1
AL,feliz deserto,2
